TimeStamp,Roll,Pitch,Yaw
11:53.9,-3.922203624,-2.884964333,-178.778195
11:54.0,-3.910900469,-2.883406281,-178.7324581
11:54.1,-3.899254397,-2.875590589,-178.6634036
11:54.2,-3.897966683,-2.872938416,-178.6500136
11:54.3,-3.906452273,-2.878972127,-178.5925435
11:54.5,-3.918629218,-2.88461484,-178.635175
11:54.6,-3.910777055,-2.879757568,-178.6276223
11:54.7,-3.907144166,-2.877669638,-178.652042
11:54.8,-3.908676462,-2.880547922,-178.5877489
11:54.9,-3.905642506,-2.877385384,-178.5099809
11:55.0,-3.905665201,-2.882858546,-178.506308
11:55.0,-3.906735062,-2.881156033,-178.4608629
11:55.1,-3.938608138,-2.8767352,-178.5228054
11:55.2,-3.836440771,-2.878121609,-178.5580267
11:55.3,-3.908110071,-2.875317491,-178.6060615
11:55.4,-3.919598123,-2.918483636,-178.6535093
11:55.6,-3.945786712,-2.911423472,-178.6855156
11:55.7,-3.90285448,-2.910932262,-178.6593748
11:55.8,-3.851994302,-2.916548957,-178.6197644
11:56.0,-3.895066384,-2.918789482,-178.5672772
11:56.1,-3.942210541,-2.961049523,-178.5486123
11:56.3,-3.932699497,-2.960408836,-178.5167691
11:56.5,-3.890316019,-2.969349272,-178.5299863
11:56.6,-3.735513275,-2.914325107,-178.537256
11:56.7,-3.575036263,-2.859059519,-178.5082255
11:56.9,-3.187012173,-2.777995295,-178.5579245
11:57.0,-2.485807676,-2.679596576,-178.5653412
11:57.1,-1.550846495,-2.580226452,-178.6712108
11:57.3,-1.312079255,-2.589258764,-178.6166982
11:57.5,-1.322413104,-2.542132525,-178.6491291
11:57.6,-1.185287039,-2.428705111,-178.7845289
11:57.6,-0.704388279,-2.366112578,-178.7757452
11:57.7,0.117274569,-2.388419633,-178.7703763
11:58.0,1.478792153,-2.41406357,-178.876797
11:58.2,2.926711774,-2.381653953,-178.9111317
11:58.3,4.227459578,-2.332252904,-178.9567327
11:58.4,5.127959909,-2.295629927,-178.9013062
11:58.6,5.719116172,-2.337039534,-178.7405723
11:58.8,7.010060669,-2.413864389,-178.7749385
11:58.9,8.130443032,-2.361939497,-178.8141859
11:58.9,9.011066677,-2.318461243,-178.7901942
11:59.1,10.11380315,-2.280944458,-178.7546408
11:59.2,11.98071397,-2.193276091,-178.9016012
11:59.4,13.81894132,-2.306112851,-178.6984786
11:59.5,15.75573959,-2.457256059,-178.4544929
11:59.6,18.03938797,-2.59086313,-178.3050832
11:59.7,20.49098184,-2.468468822,-178.3244119
11:59.8,22.6145438,-1.963255002,-178.5170481
12:00.0,24.17082835,-2.02308566,-179.0183433
12:00.1,26.04475547,-2.251191153,-179.5770551
12:00.3,26.82935861,-2.231143374,-179.7643495
12:00.3,28.37734717,-1.838325878,-179.8167514
12:00.4,28.78113415,-1.032970065,-179.5834925
12:00.6,28.92576754,-0.164410969,-179.0065197
12:00.9,29.11388198,-0.411634814,-178.5137789
12:01.0,29.59603088,-1.008715233,-178.3510768
12:01.1,30.74293787,-1.779103993,-178.3932582
12:01.2,31.90389035,-2.640779711,-178.4893141
12:01.3,33.15454339,-3.372646532,-178.6074446
12:01.4,34.68288516,-3.716732424,-178.6497313
12:01.5,35.82518041,-3.548916677,-178.5957038
12:01.6,37.19843126,-2.843005566,-178.4723237
12:01.7,38.59791955,-1.618082062,-178.3335089
12:01.9,40.08485815,-0.149523915,-178.2884393
12:02.0,41.77676264,1.56136742,-178.3543458
12:02.2,42.82134104,2.838361821,-178.1956229
12:02.4,43.61477831,3.005621367,-177.9792768
12:02.6,43.93817053,2.072426606,-177.882669
12:02.8,42.5130113,0.828815885,-178.0979134
12:02.9,41.19926635,-0.12064749,-178.615309
12:03.0,39.13063404,-0.504440377,-178.9824701
12:03.2,36.50404259,0.055126928,-178.8512285
12:03.3,34.34100487,0.865114082,-178.5547531
12:03.4,31.67496627,1.785099194,-178.1292298
12:03.5,29.0070192,2.68037375,-177.6646882
12:03.6,26.76822128,3.522688616,-177.2048781
12:03.6,24.74999463,3.897117108,-176.8576183
12:03.7,22.95681244,3.878678137,-176.7960802
12:04.0,20.77029935,3.180392989,-177.3194337
12:04.1,19.13183893,2.530294273,-177.8714944
12:04.2,17.93868644,2.42795818,-178.0707623
12:04.3,17.05971589,2.514475987,-178.1775634
12:04.4,16.06542265,2.452633738,-178.389574
12:04.7,14.36889825,1.569997032,-178.8121814
12:04.8,13.40880529,1.140023438,-179.0269739
12:04.9,12.77933512,1.219421668,-179.1223497
12:05.0,12.11109493,1.177933659,-179.2629625
12:05.1,11.22482574,0.862320955,-179.4695226
12:05.2,10.41346617,0.543149473,-179.6539655
12:05.3,9.864241738,0.511362615,-179.8128633
12:05.4,9.227534498,0.339416795,-179.939
12:05.5,8.619872761,0.136838424,179.9303968
12:05.6,8.116364705,0.030095412,179.8222627
12:05.8,7.624062752,-0.090992054,179.7544112
12:06.0,7.180764891,-0.197814123,179.6696288
12:06.2,6.759142858,-0.265125299,179.60316
12:06.4,6.289965874,-0.367919819,179.5009809
12:06.5,5.923199848,-0.448060145,179.4697649
12:06.6,5.587467086,-0.557287631,179.4474415
12:06.7,5.260567801,-0.636920418,179.4171389
12:06.9,4.842155559,-0.747239736,179.2181925
12:07.1,4.602757173,-0.799081392,178.8821182
12:07.1,4.373980727,-0.850638747,178.6964538
12:07.3,4.138673452,-0.928329031,178.6250617
12:07.4,3.959289914,-0.975834548,178.6808721
12:07.6,3.747899831,-1.020485922,178.8111276
12:07.7,3.500383247,-1.081835002,178.8919039
12:07.9,3.314042323,-1.105351323,178.9623998
12:08.1,3.128839879,-1.158266724,178.9726814
12:08.1,2.919128802,-1.14744613,178.9910286
12:08.3,2.689254307,-1.206702923,178.9016938
12:08.4,2.466416245,-1.217483837,178.6298084
12:08.6,2.216388174,-1.180170177,177.9124661
12:08.8,1.908750497,-1.036583627,176.9328093
12:08.9,2.250919724,-0.676423872,176.4486235
12:09.0,2.283197343,-0.699161304,176.9085506
12:09.3,2.242904624,-0.581830876,177.3904506
12:09.4,2.107258912,-0.616669756,177.7954044
12:09.5,2.060485894,-0.573085524,178.2481861
12:09.6,2.000462753,-0.547234488,178.579582
12:09.7,1.924832852,-0.537823853,178.881277
12:09.8,1.860739672,-0.519927235,179.1859598
12:09.9,1.815024948,-0.497881864,179.5444429
12:10.0,1.797185414,-0.451058676,179.8428676
12:10.1,1.751002209,-0.428133785,-179.8488758
12:10.2,1.728785161,-0.378260842,-179.5600095
12:10.3,1.884744858,-0.155927697,-179.2570734
12:10.5,2.141739936,0.38067109,-178.9768157
12:10.6,2.793607197,1.092013376,-178.6129943
12:10.7,4.487990113,2.031486435,-178.2842564
12:10.8,4.853997162,3.194457508,-178.1159256
12:10.9,4.085030801,4.848480996,-177.879785
12:11.0,3.615719455,6.915004312,-177.7412652
12:11.1,3.365530904,9.193643813,-177.813947
12:11.2,3.571917803,11.59557071,-178.0891313
12:11.4,2.550803544,14.5434827,-178.7615469
12:11.4,1.389148261,17.5307377,-179.5697617
12:11.5,1.2882252,20.26010593,179.7235657
12:11.7,2.852545528,22.70921374,179.113253
12:11.8,3.49734069,24.93918047,178.5821775
12:11.9,2.555990693,27.24985866,178.0647341
12:12.0,1.386187619,29.57375132,177.5269133
12:12.2,1.26726548,31.98073118,177.3169223
12:12.3,2.025025244,34.15711365,177.2114864
12:12.4,1.987236101,36.06907606,177.2976822
12:12.5,1.85137028,37.90727391,177.3998651
12:12.6,1.713889775,39.77822469,177.4187611
12:12.9,1.061080225,41.42799859,177.0281389
12:13.0,0.600191388,42.8273935,176.781946
12:13.1,0.261541293,44.17632862,176.5387756
12:13.2,0.426029061,45.60825785,176.5559328
12:13.4,0.489653629,46.83802438,176.546722
12:13.6,0.384830823,47.94225232,176.5472649
12:13.7,0.133263359,48.9499654,176.3798861
12:13.8,-0.383016922,49.72014754,176.0043058
12:13.8,-0.923264212,50.06108283,175.7997937
12:14.0,-1.597743033,49.84331265,175.559056
12:14.1,-2.220823409,48.15317204,175.6691488
12:14.2,-2.619647789,45.72645001,175.7585082
12:14.3,-3.054850577,42.76503927,175.8669033
12:14.5,-4.468061039,39.67737926,175.4604683
12:14.7,-4.969121627,36.72146148,175.0171497
12:14.8,-4.05234177,33.41912927,175.1182154
12:15.0,-4.756362179,29.32017234,175.2546373
12:15.2,-5.127650872,26.5173983,175.8756493
12:15.2,-4.680768926,24.22418868,176.309233
12:15.4,-3.421334311,23.87768066,176.9877511
