TimeStamp,xVel1,yVel1,xVel2,yVel2
22:14.6,-0.010520661,0.023557569,0.01246975,-0.001328914
22:14.7,-0.010802189,0.023826942,0.012727988,-0.000975737
22:14.8,-0.011103609,0.024082462,0.012969624,-0.000766675
22:15.0,-0.01126814,0.02403045,0.012787278,-0.001158987
22:15.1,-0.011310156,0.024361903,0.012558878,-0.001130397
22:15.3,-0.011339939,0.02468104,0.012606887,-0.001005738
22:15.4,-0.011341619,0.024753824,0.012732074,-0.001233419
22:15.4,-0.011446693,0.024849242,0.01293995,-0.00135324
22:15.6,-0.011479018,0.025106998,0.013100546,-0.001544919
22:15.8,-0.011467595,0.02516734,0.012867217,-0.001574454
22:15.9,-0.011124864,0.025402885,0.012873631,-0.001235717
22:16.0,-0.011209519,0.025731614,0.012505601,-0.001159511
22:16.1,-0.011457875,0.025881481,0.012635362,-0.001189669
22:16.2,-0.011701744,0.026188526,0.012683578,-0.001347786
22:16.4,-0.011500583,0.026328874,0.012511283,-0.000963424
22:16.5,-0.011307746,0.026292731,0.01265081,-0.000578089
22:16.6,-0.011310096,0.026187731,0.01290028,-0.000343941
22:16.6,-0.011387588,0.026043338,0.013408006,-0.000437898
22:16.7,-0.011478948,0.026177389,0.013333496,-0.000365835
22:16.8,-0.011512311,0.026479639,0.013257398,-0.000462308
22:16.9,-0.011317564,0.02629363,0.013300898,-0.000619529
22:17.0,-0.011073206,0.026273873,0.013762861,-0.000814434
22:17.1,-0.011304468,0.02684605,0.01408164,-0.000715748
22:17.3,-0.011179697,0.026874504,0.014513176,-0.000894497
22:17.4,-0.01110946,0.026581469,0.01414043,-0.00048799
22:17.6,-0.011441907,0.026458262,0.014309334,-0.000681693
22:17.8,-0.011176217,0.026384166,0.014599535,-0.000401249
22:17.9,-0.010901513,0.026640882,0.014337783,-0.000519846
22:18.0,-0.010876671,0.027201821,0.013922645,-0.000305813
22:18.1,-0.011188233,0.026758343,0.014345481,-0.000624132
22:18.2,-0.010973708,0.027062734,0.014788547,-0.000187405
22:18.3,-0.011232453,0.026988851,0.014416537,-0.000296742
22:18.5,-0.011487631,0.027084116,0.014867848,-0.000389682
22:18.6,-0.011506292,0.027148485,0.015066332,4.77E-06
22:18.8,-0.011520836,0.027427396,0.015201171,3.31E-05
22:18.9,-0.011912612,0.027503845,0.015579652,0.000569596
22:19.1,-0.01162786,0.027647753,0.015573032,0.000147036
22:19.2,-0.012028989,0.027875676,0.015637037,0.000300465
22:19.4,-0.012103149,0.028064052,0.015716192,0.000225194
22:19.5,-0.011867059,0.028439085,0.01608911,0.000217027
22:19.7,-0.012056357,0.028600355,0.016711489,0.000471844
22:19.9,-0.011770329,0.028566766,0.016844757,0.000671802
22:20.0,-0.011864131,0.02877816,0.017039937,0.000885434
22:20.2,-0.011688919,0.028960699,0.016813757,0.001013045
22:20.3,-0.011750077,0.028935777,0.016849123,0.000837965
22:20.5,-0.011613235,0.029277119,0.016813876,0.000794434
22:20.5,-0.011780602,0.029429155,0.016584453,0.000581592
22:20.6,-0.01205106,0.029337251,0.016620073,0.000510623
22:20.7,-0.012181834,0.029554268,0.01648073,0.000589529
22:20.9,-0.012244455,0.029538769,0.016592503,0.000551722
22:21.1,-0.01198223,0.029492474,0.016323201,0.000447872
22:21.2,-0.012200221,0.029223132,0.016352112,0.000466057
22:21.3,-0.011906431,0.02915619,0.016735238,0.000433127
22:21.4,-0.011619717,0.029332885,0.017279076,0.000203862
22:21.6,-0.011308131,0.029519979,0.017104914,-4.88E-05
22:21.7,-0.011490238,0.029826652,0.017013907,0.000103205
22:21.8,-0.010988693,0.029712873,0.017021221,1.85E-05
22:22.0,-0.010994816,0.029885532,0.017243209,-3.05E-05
